alumno_id,grupo,carrera,Aritmetica1,Aritmetica2,Aritmetica3,Aritmetica4,Aritmetica5,Aritmetica6,Aritmetica7,Aritmetica8,Algebra1,Algebra2,Algebra3,Algebra4,Algebra5,Algebra6,Algebra7,Algebra8,Algebra9,Geometria1,Geometria2,Geometria3,Geometria4,Geometria5,Geometria6,Geometria7,Geometria8,Trigonometria1,Trigonometria2,Trigonometria3,Trigonometria4,Cal Aritmetica,Cal Algebra,Cal Geometria,Cal Trigonometria,Suma Aritmetica,Suma Algebra,Suma Geometria,Suma Trigonometria,Cal Final,Suma Final,Aprobado Aritmetica,Aprobado Algebra,Aprobado Geometria,Aprobado Trigonometria,Aprobado General,Curso
2243330095,A,I.C.,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,75,56,63,0,6,5,5,0,55,16,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330100,A,I.C.,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,63,56,75,0,5,5,6,0,55,16,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330108,A,I.C.,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,63,44,63,50,5,4,5,2,55,16,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2213222008,A,I.C.,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,50,67,63,25,4,6,5,1,55,16,REPROBADO,APROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330001,R,I.C.,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,75,22,75,25,6,2,6,1,52,15,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330031,R,I.C.,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,50,33,63,75,4,3,5,3,52,15,REPROBADO,REPROBADO,APROBADO,APROBADO,REPROBADO,SI
2243330395,H,I.S.C.,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,63,33,88,0,5,3,7,0,52,15,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330318,H,I.S.C.,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,38,33,100,25,3,3,8,1,52,15,REPROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2213217001,C,I.I.S.,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,63,44,75,0,5,4,6,0,52,15,APROBADO,REPROBADO,APROBADO,REPROBADO,REPROBADO,SI
2243330128,C,I.I.S.,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,75,33,50,50,6,3,4,2,52,15,APROBADO,REPROBADO,REPROBADO,REPROBADO,REPROBADO,SI
